antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Q5'}),"frozenset({'Q7', 'Q2'})",0.02,0.01,0.01,0.5,50.0,0.0098,1.98,1.0
frozenset({'Q2'}),"frozenset({'Q7', 'Q5'})",0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
"frozenset({'Q4', 'Q7'})",frozenset({'Q3'}),0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
"frozenset({'Q4', 'Q3'})",frozenset({'Q7'}),0.01,0.03,0.01,1.0,33.333333333333336,0.0097,inf,0.9797979797979798
"frozenset({'Q7', 'Q3'})",frozenset({'Q4'}),0.01,0.02,0.01,1.0,50.0,0.0098,inf,0.9898989898989898
frozenset({'Q4'}),"frozenset({'Q7', 'Q3'})",0.02,0.01,0.01,0.5,50.0,0.0098,1.98,1.0
frozenset({'Q7'}),"frozenset({'Q4', 'Q3'})",0.03,0.01,0.01,0.33333333333333337,33.333333333333336,0.0097,1.485,1.0
frozenset({'Q3'}),"frozenset({'Q4', 'Q7'})",0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
"frozenset({'Q11', 'Q14'})",frozenset({'Q13'}),0.01,0.03,0.01,1.0,33.333333333333336,0.0097,inf,0.9797979797979798
"frozenset({'Q11', 'Q13'})",frozenset({'Q14'}),0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
"frozenset({'Q14', 'Q13'})",frozenset({'Q11'}),0.01,0.02,0.01,1.0,50.0,0.0098,inf,0.9898989898989898
frozenset({'Q11'}),"frozenset({'Q14', 'Q13'})",0.02,0.01,0.01,0.5,50.0,0.0098,1.98,1.0
frozenset({'Q14'}),"frozenset({'Q11', 'Q13'})",0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
frozenset({'Q13'}),"frozenset({'Q11', 'Q14'})",0.03,0.01,0.01,0.33333333333333337,33.333333333333336,0.0097,1.485,1.0
"frozenset({'Q16', 'Q15'})",frozenset({'Q12'}),0.01,0.03,0.01,1.0,33.333333333333336,0.0097,inf,0.9797979797979798
"frozenset({'Q16', 'Q12'})",frozenset({'Q15'}),0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
"frozenset({'Q15', 'Q12'})",frozenset({'Q16'}),0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
frozenset({'Q16'}),"frozenset({'Q15', 'Q12'})",0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
frozenset({'Q15'}),"frozenset({'Q16', 'Q12'})",0.01,0.01,0.01,1.0,100.0,0.0099,inf,1.0
frozenset({'Q12'}),"frozenset({'Q16', 'Q15'})",0.03,0.01,0.01,0.33333333333333337,33.333333333333336,0.0097,1.485,1.0
